Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
169,University 76,3.61,High School,Michellestad,M,0,0,1,3,Full-stack Developer,01/18,06/20,Business Analyst,07/19,05/21,Back-end Developer,02/21,04/24,3.84,1
170,University 109,3.44,Bachelors,North Rebecca,M,0,1,0,0,Research Assistant,10/17,07/19,N/A,N/A,N/A,N/A,N/A,N/A,3.26,1
171,University 105,3.81,Some College,Marvinshire,N/A,1,1,0,0,Technical Support Specialist,08/22,05/26,QA Analyst,02/22,05/24,Data Analyst,06/18,02/19,2.08,0
172,University 77,2.96,Phd,Loweryborough,M,N/A,1,N/A,0,Product Manager,02/20,02/23,UX Designer,10/22,09/23,N/A,N/A,N/A,3.42,0
173,University 198,3.79,Bachelors,Santanaport,N/A,0,1,0,3,UX Designer,05/20,02/21,Product Manager,09/18,12/19,N/A,N/A,N/A,0.45,0
174,University 143,3.8,High School,Port Diamondburgh,N/A,1,1,1,0,QA Analyst,03/21,11/21,Research Assistant,08/22,06/24,Software Engineer,01/19,12/20,8.79,0
175,University 157,3.15,Some College,Port Stephenfurt,F,N/A,1,1,0,Product Manager,12/19,03/21,Applications Developer,04/17,06/19,N/A,N/A,N/A,0.02,0
176,University 141,3.61,Phd,East Thomasstad,M,1,0,1,3,Applications Developer,02/22,06/22,UX Designer,12/20,04/24,N/A,N/A,N/A,4.03,0
177,University 14,3.8,High School,Maxwellside,M,N/A,1,0,0,Web Developer,01/19,07/20,N/A,N/A,N/A,N/A,N/A,N/A,6.51,1
178,University 73,3.21,Post-Doc,Lake Jennifer,M,0,1,N/A,3,Product Manager,11/19,01/21,QA Analyst,01/19,05/19,N/A,N/A,N/A,5.34,0
179,University 28,3.5,Bachelors,West Natalieshire,M,N/A,1,1,3,IT Manager,03/18,06/19,N/A,N/A,N/A,N/A,N/A,N/A,0.51,1
180,University 7,3.58,Bachelors,North Kyle,M,0,0,0,4,Back-end Developer,01/22,01/23,N/A,N/A,N/A,N/A,N/A,N/A,4.22,1
181,University 162,3.44,Some College,Matthewstown,N/A,1,0,N/A,4,Technical Support Specialist,07/21,01/23,Business Analyst,04/17,06/18,N/A,N/A,N/A,8.1,0
182,University 36,2.95,High School,Jonathanhaven,F,0,0,1,4,Research Assistant,11/17,06/21,Product Manager,07/19,04/20,Back-end Developer,12/17,06/21,4.58,0
183,University 86,3.41,Post-Doc,Jacksonchester,F,1,0,1,0,QA Analyst,05/17,11/20,System Analyst,12/18,11/22,Data Scientist,04/16,09/18,3.62,0
184,University 144,3.05,Bachelors,Tylerville,M,0,0,N/A,3,Research Assistant,05/17,03/21,Network Administrator,07/17,06/20,Database Administrator,11/18,07/21,3.17,1
185,University 187,2.97,Bachelors,South Teresa,M,1,0,1,0,System Analyst,06/21,04/23,Business Analyst,07/16,09/19,N/A,N/A,N/A,1.4,0
186,University 111,3.02,Masters,Martinezview,N/A,0,0,1,0,Front-end Developer,08/22,04/26,Research Assistant,11/18,08/22,Full-stack Developer,12/18,04/20,3.01,0
187,University 64,2.92,Post-Doc,West Marie,N/A,0,0,N/A,3,Full-stack Developer,02/22,03/24,Data Analyst,01/23,11/24,IT Manager,08/20,11/22,6.61,0
188,University 43,3.4,Post-Doc,East John,M,0,0,N/A,0,Data Analyst,11/18,02/20,Data Scientist,05/17,02/19,N/A,N/A,N/A,5.73,0
189,University 170,3.12,Bachelors,Williechester,M,1,0,N/A,4,Research Assistant,03/23,07/26,Back-end Developer,10/18,01/19,Network Administrator,10/16,11/19,4.34,0
190,University 21,3.98,Masters,East Robertborough,N/A,N/A,1,0,0,Teaching Assistant,07/16,12/17,System Analyst,10/22,11/23,Network Administrator,11/22,08/25,4.3,0
191,University 87,3.76,Post-Doc,Port Amberborough,F,N/A,0,N/A,3,IT Manager,07/17,06/18,Database Administrator,03/22,10/25,N/A,N/A,N/A,9.77,0
192,University 144,2.92,Some College,Lake Andrewburgh,M,1,1,1,3,Full-stack Developer,12/17,12/18,UX Designer,03/23,10/24,IT Manager,07/19,12/19,8.63,0
193,University 177,3.79,Some College,Benjaminshire,F,N/A,0,0,0,IT Manager,03/17,08/17,Developer,02/20,08/23,N/A,N/A,N/A,6.57,0
194,University 139,3.12,Some College,New Robertmouth,N/A,1,1,1,0,Business Analyst,12/16,09/20,Teaching Assistant,11/19,07/21,N/A,N/A,N/A,0.25,0
195,University 30,3.39,Masters,Walterland,M,1,0,1,0,Research Assistant,07/22,12/25,IT Manager,12/21,02/24,Full-stack Developer,10/22,03/25,1.38,0
196,University 61,3.5,Some College,West Bruce,F,1,1,1,4,Database Administrator,11/16,04/18,N/A,N/A,N/A,N/A,N/A,N/A,2.51,0
197,University 144,3.25,Bachelors,North Clifford,N/A,0,1,1,4,Applications Developer,04/18,10/20,Web Developer,05/20,03/22,Data Scientist,12/19,10/21,4.43,0
198,University 121,3.53,Bachelors,North Christopher,N/A,0,1,0,0,Research Assistant,05/19,02/21,N/A,N/A,N/A,N/A,N/A,N/A,6.87,0
199,University 116,3.07,High School,East Melissa,N/A,0,0,N/A,3,Full-stack Developer,12/17,08/21,N/A,N/A,N/A,N/A,N/A,N/A,1.0,0
200,University 184,3.22,Masters,Ricefort,F,0,1,N/A,4,System Analyst,11/20,07/24,System Analyst,08/16,06/18,N/A,N/A,N/A,8.15,0
201,University 70,3.95,High School,Romeroton,M,1,0,1,3,Applications Developer,09/19,03/22,N/A,N/A,N/A,N/A,N/A,N/A,5.41,1
202,University 2,3.62,Some College,New Elizabethtown,M,N/A,0,N/A,3,Applications Developer,09/22,03/25,N/A,N/A,N/A,N/A,N/A,N/A,9.67,0
203,University 87,3.71,Some College,Williamfort,N/A,0,0,1,4,Teaching Assistant,01/19,06/19,Full-stack Developer,08/19,01/22,UX Designer,07/17,06/18,8.59,0
204,University 97,3.46,Bachelors,New Richardmouth,M,1,0,N/A,3,IT Manager,08/16,11/17,Back-end Developer,12/18,03/20,N/A,N/A,N/A,3.79,1
205,University 7,3.34,Masters,West Karenhaven,N/A,0,0,0,3,Technical Support Specialist,08/18,10/21,UX Designer,04/20,11/21,Developer,01/22,11/24,2.18,0
206,University 37,3.63,Phd,South Michael,M,N/A,0,N/A,0,System Analyst,11/20,06/24,Database Administrator,03/21,01/25,Technical Support Specialist,10/20,06/24,4.45,0
207,University 192,2.81,Some College,Port Justin,F,0,1,0,3,Applications Developer,04/17,11/19,Web Developer,12/22,05/24,Full-stack Developer,02/23,03/26,9.61,0
208,University 103,4.0,Post-Doc,Danaport,F,1,1,N/A,2,Applications Developer,03/21,11/24,System Analyst,01/21,10/22,System Analyst,04/23,01/27,4.84,0
209,University 53,3.32,Masters,Kristibury,F,0,1,N/A,3,Teaching Assistant,04/19,06/19,System Analyst,07/20,05/23,Teaching Assistant,03/19,05/19,6.35,0
210,University 175,2.85,Phd,Allenton,F,0,1,N/A,3,System Analyst,11/16,10/19,Developer,07/18,03/20,Network Administrator,01/22,08/23,2.71,0
211,University 8,2.9,Masters,North Mollyfurt,M,1,0,0,4,Data Scientist,12/22,05/24,Data Scientist,04/17,12/18,N/A,N/A,N/A,5.32,0
212,University 45,3.4,Bachelors,Vazquezbury,M,1,1,1,3,Teaching Assistant,11/22,01/23,Data Scientist,12/16,06/17,N/A,N/A,N/A,5.59,0
213,University 168,3.18,Phd,New Erikborough,F,N/A,1,1,3,Full-stack Developer,09/18,12/19,Technical Support Specialist,01/22,03/24,Developer,10/22,07/24,0.83,1
214,University 116,3.48,Some College,Bensonside,F,N/A,0,1,3,Technical Support Specialist,07/21,06/24,Software Engineer,10/20,10/22,Data Scientist,12/18,08/19,6.35,0
215,University 191,3.56,Post-Doc,South Ashleyton,M,N/A,1,0,0,System Analyst,10/21,05/25,N/A,N/A,N/A,N/A,N/A,N/A,7.25,0
216,University 109,3.65,Bachelors,Adamsfurt,M,1,0,N/A,3,Research Assistant,06/17,07/20,Data Scientist,02/22,10/24,Front-end Developer,07/19,04/23,8.07,0
217,University 21,3.36,Bachelors,New Lindabury,N/A,1,0,0,0,Technical Support Specialist,07/18,02/20,N/A,N/A,N/A,N/A,N/A,N/A,5.63,0
218,University 108,2.81,Masters,West Lindsayburgh,M,1,0,1,3,IT Manager,02/19,07/20,Software Engineer,06/18,12/18,Data Scientist,01/21,09/23,9.72,0
219,University 180,3.18,Phd,Brownhaven,F,1,0,0,4,System Analyst,08/21,02/24,IT Manager,09/21,04/25,N/A,N/A,N/A,4.78,0
220,University 71,3.84,Bachelors,Sonyaborough,N/A,1,0,N/A,0,QA Analyst,01/18,01/19,Developer,09/20,02/22,N/A,N/A,N/A,4.35,0
221,University 123,3.39,High School,Ericberg,N/A,0,1,0,3,Network Administrator,12/20,12/23,Research Assistant,05/18,12/20,N/A,N/A,N/A,2.52,0
222,University 153,3.23,Some College,Port Rachel,M,1,1,1,3,Developer,12/19,01/23,Data Analyst,03/17,03/18,Database Administrator,10/17,02/18,1.4,0
223,University 177,3.98,Post-Doc,Moorefurt,M,0,0,N/A,4,Research Assistant,01/21,09/22,Back-end Developer,12/21,09/25,N/A,N/A,N/A,7.22,1
224,University 139,3.68,High School,North Jamesside,M,0,1,1,2,Developer,11/16,11/18,N/A,N/A,N/A,N/A,N/A,N/A,5.12,1
225,University 185,2.8,Post-Doc,Hallborough,M,0,0,1,4,Teaching Assistant,05/19,08/21,Data Analyst,05/19,07/20,System Analyst,06/21,09/21,1.46,0
226,University 143,3.51,High School,Dylantown,N/A,0,1,N/A,3,Web Developer,04/23,12/26,Software Engineer,11/19,03/23,N/A,N/A,N/A,4.2,0
227,University 46,3.88,Post-Doc,Lopezside,N/A,N/A,0,N/A,3,Product Manager,04/21,05/22,Business Analyst,06/17,01/20,Research Assistant,03/21,07/24,3.43,0
228,University 135,3.74,Post-Doc,Hinesmouth,M,0,0,0,3,Front-end Developer,05/20,09/22,Full-stack Developer,11/21,08/24,N/A,N/A,N/A,7.85,1
229,University 137,2.89,Phd,North Stephenside,M,0,0,1,4,Business Analyst,12/19,09/21,Back-end Developer,08/19,10/21,N/A,N/A,N/A,5.14,0
230,University 77,3.68,Bachelors,Morganbury,N/A,0,0,0,3,Database Administrator,03/19,11/22,Developer,04/18,09/19,N/A,N/A,N/A,9.7,0
231,University 68,2.88,Bachelors,Susanport,F,N/A,1,N/A,3,Business Analyst,11/16,02/17,Software Engineer,11/17,10/20,Applications Developer,07/22,02/25,6.92,0
232,University 23,3.08,Some College,Nancyborough,N/A,0,1,0,3,IT Manager,01/22,01/23,Developer,09/16,08/20,N/A,N/A,N/A,3.45,0
233,University 58,3.61,High School,West Ashleymouth,M,N/A,1,N/A,3,UX Designer,08/17,02/19,Full-stack Developer,12/20,11/21,Network Administrator,06/16,06/19,9.62,0
234,University 16,3.99,Post-Doc,Nicolebury,M,0,1,N/A,3,Research Assistant,02/23,11/26,N/A,N/A,N/A,N/A,N/A,N/A,2.7,0
235,University 128,3.97,Post-Doc,North Gabriel,M,N/A,1,N/A,0,IT Manager,11/17,11/18,Web Developer,06/17,02/20,N/A,N/A,N/A,3.81,0
236,University 97,3.6,Post-Doc,Port Brentstad,N/A,0,0,N/A,3,Applications Developer,10/22,04/25,Applications Developer,10/18,03/22,N/A,N/A,N/A,2.12,0
237,University 199,3.82,Post-Doc,East Charlesland,M,1,1,1,0,Teaching Assistant,02/22,02/24,Applications Developer,10/16,12/19,Research Assistant,08/18,12/18,6.8,0
238,University 5,3.28,Masters,South Alisha,M,N/A,1,1,0,Front-end Developer,07/18,11/20,UX Designer,11/16,03/17,Developer,07/21,11/22,3.18,0
239,University 173,3.64,High School,Jesseville,N/A,0,1,1,4,IT Manager,12/18,11/21,Back-end Developer,09/22,12/25,Database Administrator,04/16,12/19,5.83,0
240,University 117,3.35,Phd,West Mark,N/A,0,1,1,0,Developer,01/20,05/22,System Analyst,04/17,07/20,Applications Developer,05/18,05/19,1.52,0
241,University 155,2.87,Phd,South Edward,M,1,1,0,3,Full-stack Developer,03/19,02/23,Business Analyst,02/18,04/20,N/A,N/A,N/A,0.63,0
242,University 106,3.93,Masters,Karenville,M,1,0,0,0,Technical Support Specialist,01/21,11/24,Full-stack Developer,12/16,05/19,System Analyst,07/22,10/22,8.15,0
243,University 75,2.93,Phd,Jenniferbury,M,N/A,0,0,0,Applications Developer,12/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A,8.72,0
244,University 175,2.98,High School,New Jennifer,F,1,1,0,0,Developer,06/19,11/22,N/A,N/A,N/A,N/A,N/A,N/A,3.78,0
245,University 82,3.53,Phd,Nicholsview,F,N/A,0,N/A,4,Back-end Developer,12/18,08/22,IT Manager,08/21,07/22,Technical Support Specialist,07/21,02/23,8.57,1
246,University 105,3.17,Post-Doc,New Molly,M,0,1,0,0,IT Manager,09/18,07/20,Data Analyst,04/23,06/26,N/A,N/A,N/A,9.92,1
247,University 90,3.09,Bachelors,Hansonfurt,F,N/A,1,1,3,Technical Support Specialist,03/20,07/20,IT Manager,10/18,12/18,Data Analyst,10/18,06/21,1.53,0
248,University 78,2.89,Phd,Parkerburgh,M,0,1,0,4,Technical Support Specialist,07/17,08/19,N/A,N/A,N/A,N/A,N/A,N/A,9.34,1
249,University 71,3.18,High School,Smithville,F,N/A,0,N/A,0,Full-stack Developer,08/16,03/19,UX Designer,07/17,07/18,N/A,N/A,N/A,8.55,0
250,University 88,3.87,Bachelors,New Jillland,M,1,1,1,3,Back-end Developer,09/20,05/22,Software Engineer,07/19,10/21,N/A,N/A,N/A,1.39,1
251,University 42,2.84,Masters,West Michelleburgh,F,N/A,0,N/A,3,Front-end Developer,07/16,11/16,Developer,02/19,01/21,Back-end Developer,04/17,09/19,0.36,0
252,University 100,3.77,Masters,Port Ryanfort,M,N/A,0,1,0,Web Developer,11/19,01/21,QA Analyst,11/16,05/20,Applications Developer,10/21,09/22,3.9,0
253,University 11,3.86,Post-Doc,Paulshire,F,N/A,1,0,3,Research Assistant,02/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A,9.71,0
254,University 108,3.52,High School,Kelliview,N/A,N/A,1,N/A,0,Developer,05/17,03/20,Developer,08/17,01/20,N/A,N/A,N/A,1.06,0
255,University 171,3.66,Some College,Kathleenfurt,M,N/A,0,N/A,0,UX Designer,11/21,12/24,Front-end Developer,03/21,03/23,Developer,06/20,08/22,7.68,0
256,University 123,3.49,Masters,Lake Robert,M,N/A,1,0,0,Developer,02/22,06/24,N/A,N/A,N/A,N/A,N/A,N/A,0.13,0
257,University 194,3.1,Bachelors,Paulberg,F,N/A,0,1,0,Developer,08/21,10/22,Network Administrator,03/23,01/25,N/A,N/A,N/A,5.11,0
258,University 142,3.71,High School,Lake Kaitlinberg,M,N/A,0,1,4,Applications Developer,06/18,12/19,IT Manager,08/20,03/21,Network Administrator,01/20,05/23,3.96,0
259,University 66,3.1,Phd,Samanthafurt,F,1,0,0,2,Software Engineer,06/18,01/19,Business Analyst,05/22,02/25,Teaching Assistant,04/17,11/17,0.03,0
260,University 138,3.76,Bachelors,Garrettland,M,N/A,0,0,4,Data Analyst,07/22,03/24,Teaching Assistant,01/18,01/20,N/A,N/A,N/A,3.52,0
261,University 72,3.74,High School,Lake Whitney,N/A,1,1,1,0,Back-end Developer,12/17,10/21,UX Designer,10/16,05/18,Back-end Developer,11/22,08/23,7.54,0
262,University 177,3.29,Phd,Nelsonbury,M,N/A,1,N/A,0,Web Developer,09/20,03/24,Developer,09/17,11/19,Technical Support Specialist,02/22,03/23,2.22,0
263,University 23,3.85,Phd,East Danielleshire,F,0,1,N/A,3,Technical Support Specialist,07/18,12/20,Back-end Developer,05/19,01/22,N/A,N/A,N/A,3.35,0
264,University 99,3.09,Masters,Michaelshire,N/A,1,0,1,0,Developer,12/22,07/25,Data Scientist,09/22,03/24,N/A,N/A,N/A,9.92,0
265,University 56,3.41,Post-Doc,South Juan,M,1,0,N/A,4,Developer,03/17,05/20,QA Analyst,07/17,01/21,Research Assistant,04/22,03/26,5.23,1
266,University 68,3.13,Post-Doc,South Joechester,M,0,0,N/A,3,Product Manager,12/20,11/22,N/A,N/A,N/A,N/A,N/A,N/A,6.08,1
267,University 38,3.53,Masters,Mcdonaldtown,M,1,1,1,3,Applications Developer,07/22,04/24,Developer,12/21,10/22,Full-stack Developer,10/20,09/23,4.7,0
268,University 129,2.85,Bachelors,Lake Steven,F,0,0,N/A,0,Full-stack Developer,01/17,10/18,Web Developer,02/19,03/19,Web Developer,08/18,07/22,0.9,1
269,University 95,3.94,Bachelors,Coffeyland,N/A,N/A,1,1,2,Applications Developer,12/22,02/24,Developer,02/18,05/20,N/A,N/A,N/A,9.86,0
270,University 29,3.44,Post-Doc,South Hannah,N/A,N/A,1,1,4,Product Manager,10/20,12/22,Database Administrator,12/19,11/22,Front-end Developer,11/22,09/25,0.47,0
271,University 159,3.21,Some College,Lake Charles,F,1,0,N/A,3,UX Designer,12/21,08/24,N/A,N/A,N/A,N/A,N/A,N/A,9.37,0
272,University 119,3.14,Some College,Port Jenniferville,M,N/A,1,0,0,Back-end Developer,04/19,11/22,System Analyst,10/22,05/26,N/A,N/A,N/A,4.16,1
273,University 31,3.06,Phd,Stephanietown,M,0,1,N/A,0,Front-end Developer,12/19,05/22,Teaching Assistant,09/19,04/20,N/A,N/A,N/A,5.99,0
274,University 72,3.79,High School,New Jenniferborough,F,N/A,1,N/A,2,Business Analyst,06/19,10/22,N/A,N/A,N/A,N/A,N/A,N/A,9.03,1
275,University 145,3.78,Phd,Jamesside,M,0,0,1,0,Technical Support Specialist,08/17,07/19,N/A,N/A,N/A,N/A,N/A,N/A,4.03,0
276,University 198,3.86,High School,Tiffanymouth,F,N/A,1,0,4,Developer,05/17,10/20,Data Analyst,04/20,06/21,N/A,N/A,N/A,5.03,1
277,University 114,3.84,Some College,Port Jeffrey,N/A,1,1,N/A,3,Developer,03/20,06/20,Technical Support Specialist,06/18,01/20,Data Analyst,09/17,05/19,2.81,0
278,University 2,3.39,Some College,Marytown,F,1,1,0,3,Front-end Developer,08/16,06/17,Developer,10/20,05/23,N/A,N/A,N/A,8.88,0
279,University 10,3.0,Masters,West Nicholas,M,1,0,0,0,Back-end Developer,02/18,11/20,UX Designer,04/18,04/20,N/A,N/A,N/A,8.27,1
280,University 67,3.83,Bachelors,Yuhaven,M,0,0,1,3,Business Analyst,10/17,10/18,Applications Developer,12/20,09/23,System Analyst,08/16,11/19,5.66,0
281,University 29,3.52,Post-Doc,East Alfred,N/A,N/A,1,1,3,Network Administrator,09/17,01/18,Teaching Assistant,06/17,02/20,Data Scientist,03/19,09/20,9.49,0
282,University 64,3.74,Bachelors,New Marymouth,M,1,0,0,0,Data Scientist,09/16,08/19,Database Administrator,04/22,10/24,N/A,N/A,N/A,3.72,1
283,University 196,2.94,Post-Doc,New Margaret,N/A,1,1,1,0,Web Developer,03/23,07/23,Back-end Developer,09/20,05/21,N/A,N/A,N/A,4.64,0
284,University 145,3.63,Post-Doc,Phillipsmouth,F,0,1,0,4,Product Manager,07/20,02/24,Developer,04/21,12/22,N/A,N/A,N/A,0.57,0
285,University 163,3.0,Bachelors,West Jeffreyton,F,N/A,0,0,0,Technical Support Specialist,05/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A,0.63,1
286,University 121,3.03,Post-Doc,New Michaelfurt,F,N/A,0,0,4,Database Administrator,08/20,09/21,UX Designer,06/18,06/21,N/A,N/A,N/A,7.9,0
287,University 11,3.15,Post-Doc,Clarkberg,M,0,0,0,0,Network Administrator,02/23,09/23,UX Designer,06/18,03/20,N/A,N/A,N/A,1.42,0
288,University 105,3.63,Post-Doc,East Sergio,F,0,1,0,3,Data Analyst,05/16,01/19,Data Scientist,11/16,12/19,N/A,N/A,N/A,3.86,0
289,University 21,3.29,Post-Doc,Wesleyview,F,N/A,0,1,3,Data Analyst,12/19,03/22,Web Developer,01/18,01/20,N/A,N/A,N/A,6.98,1
290,University 71,3.33,Some College,Hatfieldton,M,1,1,1,3,Network Administrator,12/20,09/24,N/A,N/A,N/A,N/A,N/A,N/A,3.4,1
291,University 52,3.41,Phd,North Madisonview,N/A,1,1,N/A,0,Database Administrator,07/17,05/18,UX Designer,05/18,05/22,Teaching Assistant,07/19,12/21,8.5,0
292,University 93,3.49,Post-Doc,Welchstad,M,0,0,0,3,Developer,02/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A,3.53,0
293,University 145,3.3,Post-Doc,Teresabury,N/A,1,0,0,0,Data Analyst,05/22,11/23,N/A,N/A,N/A,N/A,N/A,N/A,9.79,0
294,University 38,3.71,High School,Meganton,N/A,1,0,0,3,Data Analyst,12/18,09/20,System Analyst,07/19,09/20,Front-end Developer,06/19,08/21,6.15,0
295,University 160,3.39,Phd,Port Krystal,M,1,0,1,3,Back-end Developer,05/16,09/18,Back-end Developer,05/16,05/18,N/A,N/A,N/A,4.18,1
296,University 200,3.19,High School,Westland,N/A,N/A,0,1,0,Front-end Developer,10/18,01/20,Teaching Assistant,08/20,10/22,N/A,N/A,N/A,7.9,0
297,University 24,3.22,High School,New Ryanton,F,1,1,0,3,Back-end Developer,09/20,01/21,Data Analyst,09/17,10/18,Web Developer,01/20,02/22,4.98,0
298,University 47,3.28,Masters,New Vincentmouth,F,0,1,1,0,Technical Support Specialist,02/20,11/23,UX Designer,11/18,01/20,System Analyst,03/23,09/23,6.21,1
299,University 189,3.97,Phd,New Kristen,F,1,1,1,3,Data Scientist,07/22,11/24,Data Scientist,11/21,04/23,IT Manager,06/20,11/21,7.14,1
300,University 131,3.11,Post-Doc,Lake Kevin,M,N/A,1,0,3,Network Administrator,02/21,08/23,Network Administrator,05/18,08/21,N/A,N/A,N/A,5.27,1
301,University 102,2.93,High School,North Alfredport,M,N/A,1,1,2,Full-stack Developer,03/17,08/19,N/A,N/A,N/A,N/A,N/A,N/A,4.38,1
302,University 157,3.14,High School,South Taylorstad,F,1,0,N/A,3,Business Analyst,04/17,04/18,N/A,N/A,N/A,N/A,N/A,N/A,7.87,1
303,University 174,3.56,Post-Doc,Lake Stevenport,F,0,0,0,3,Data Scientist,05/20,02/21,Research Assistant,02/21,08/24,Data Scientist,05/22,02/23,0.4,0
304,University 93,2.82,Post-Doc,New Kimberly,M,0,0,1,3,Software Engineer,11/19,08/23,Business Analyst,10/19,07/21,N/A,N/A,N/A,7.58,0
305,University 76,3.18,Phd,North Jessicaland,N/A,0,0,0,0,Data Scientist,11/19,08/21,Research Assistant,11/17,01/19,N/A,N/A,N/A,0.46,0
306,University 21,3.89,Masters,East Erica,F,1,0,1,0,Teaching Assistant,01/22,07/25,Software Engineer,08/18,09/20,Database Administrator,08/16,06/17,9.18,0
307,University 160,3.7,Masters,Lake Amanda,M,N/A,1,1,0,Business Analyst,10/19,12/22,N/A,N/A,N/A,N/A,N/A,N/A,5.77,0
308,University 179,3.34,Phd,Richardmouth,N/A,N/A,1,N/A,3,IT Manager,09/19,12/21,QA Analyst,04/16,10/19,System Analyst,11/18,07/20,0.11,0
309,University 168,3.68,Post-Doc,Williamsbury,F,0,1,0,0,Database Administrator,11/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A,1.13,0
310,University 155,3.18,High School,Port Edwardport,M,0,0,0,3,Applications Developer,07/17,10/19,Data Analyst,08/17,03/19,N/A,N/A,N/A,5.42,0
311,University 44,3.42,High School,Johnland,F,1,0,N/A,0,Developer,12/21,03/25,Web Developer,10/22,02/25,Applications Developer,08/19,11/19,9.14,0
312,University 11,3.16,Some College,Loganmouth,M,N/A,0,1,3,Web Developer,06/22,08/25,N/A,N/A,N/A,N/A,N/A,N/A,2.3,0
313,University 31,3.58,Post-Doc,Port Lisafurt,M,1,0,N/A,3,Front-end Developer,01/23,10/24,Full-stack Developer,04/19,11/22,Business Analyst,07/18,01/19,9.04,0
314,University 191,3.0,Some College,Jennifershire,F,N/A,1,0,0,Research Assistant,06/18,07/19,Software Engineer,05/21,02/25,Network Administrator,12/16,06/20,4.58,0
315,University 47,2.91,Bachelors,East Katherine,M,1,1,N/A,0,Database Administrator,06/16,03/20,IT Manager,06/22,08/23,Network Administrator,12/18,04/21,4.63,0
316,University 5,3.32,Post-Doc,Geraldland,N/A,0,1,0,0,Front-end Developer,12/21,05/25,Network Administrator,09/18,04/20,Full-stack Developer,09/21,10/23,0.01,0
317,University 35,3.0,Phd,South Charles,M,1,0,0,0,Technical Support Specialist,06/16,02/19,Research Assistant,01/17,03/19,Web Developer,10/18,06/20,6.05,0
318,University 157,3.14,Bachelors,Johnhaven,N/A,0,1,N/A,3,Web Developer,12/16,03/17,Software Engineer,09/16,07/20,N/A,N/A,N/A,3.77,0
319,University 175,3.85,Masters,Deniseton,N/A,N/A,0,N/A,3,Web Developer,05/20,03/23,Database Administrator,10/18,01/22,N/A,N/A,N/A,8.92,0
320,University 36,3.0,Masters,Stephaniehaven,M,1,0,1,2,Database Administrator,08/22,03/23,Data Analyst,08/22,07/23,Business Analyst,04/19,12/22,1.48,0
321,University 188,3.51,Phd,Petersonport,M,1,1,N/A,0,QA Analyst,03/22,01/23,N/A,N/A,N/A,N/A,N/A,N/A,2.01,1
322,University 76,3.22,Bachelors,East Joshuaton,N/A,1,1,1,3,Front-end Developer,10/19,04/20,UX Designer,07/19,11/20,IT Manager,04/21,01/25,6.6,0
323,University 121,3.52,Some College,South Kathryn,M,N/A,0,N/A,0,Database Administrator,04/20,06/23,Software Engineer,03/23,11/23,N/A,N/A,N/A,8.22,1
324,University 182,3.4,Phd,Port Williammouth,F,0,1,N/A,3,Network Administrator,12/16,04/18,N/A,N/A,N/A,N/A,N/A,N/A,7.47,1
325,University 76,3.98,Phd,East Heatherburgh,N/A,0,1,N/A,0,Developer,09/18,05/22,Web Developer,07/22,09/22,IT Manager,05/22,04/24,6.61,0
326,University 146,3.31,Post-Doc,East Sarachester,N/A,0,0,N/A,3,Software Engineer,06/22,06/25,Teaching Assistant,08/19,07/20,N/A,N/A,N/A,2.18,0
327,University 198,3.67,High School,Woodshire,F,1,0,1,0,Technical Support Specialist,06/18,04/20,Data Analyst,07/21,03/24,Teaching Assistant,08/20,05/22,5.52,0
328,University 13,3.06,High School,Gutierrezfurt,M,1,1,N/A,0,Developer,04/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,8.62,0
329,University 12,3.78,High School,Bondport,M,1,0,1,3,Software Engineer,05/19,04/20,UX Designer,07/20,01/23,Back-end Developer,07/20,12/20,5.06,1
330,University 155,3.83,High School,Annland,N/A,1,0,N/A,0,Data Scientist,09/16,02/20,Network Administrator,09/19,08/23,N/A,N/A,N/A,5.85,0
331,University 195,3.46,Some College,West Nicolestad,M,N/A,0,0,0,Full-stack Developer,10/20,09/23,Front-end Developer,10/16,05/17,Teaching Assistant,01/21,11/21,0.8,0
332,University 152,3.02,Phd,Nicholastown,F,1,1,1,0,Network Administrator,05/21,01/22,N/A,N/A,N/A,N/A,N/A,N/A,1.27,0
333,University 27,2.96,Masters,Ericside,N/A,1,1,1,0,Research Assistant,08/16,09/17,Developer,01/19,07/20,N/A,N/A,N/A,1.07,0
334,University 84,3.7,Some College,Chavezview,F,0,0,N/A,3,Database Administrator,02/17,06/17,Database Administrator,11/21,09/22,UX Designer,11/21,10/23,5.05,0
335,University 8,2.85,Some College,Joshuaport,F,0,1,1,0,Full-stack Developer,08/22,09/25,Research Assistant,06/20,04/21,Business Analyst,04/19,08/21,1.72,0
336,University 35,3.96,Masters,Lake Christopher,F,0,0,N/A,0,Technical Support Specialist,12/16,03/17,Business Analyst,05/17,07/19,Front-end Developer,04/18,08/18,7.59,0
